,asset,scenario,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
9,y,18,18,-0.0733434675,-42,35.6490484436,255,-432,160,-0.0972222222,-256,-204,0.3137254902,16,35,86.75,-46.9714285714
0,p,12,12,1.7674605477,1064,37.4758929255,255,-324,39,3.2839506173,860,-182,0.4888888889,22,23,96.5454545455,-54.9565217391
1,p,11,11,1.6366001461,978,37.2011494591,255,-440,40,2.2227272727,770,-190,0.4680851064,22,25,97,-54.56
2,p,5,5,1.6192482777,1102,42.3670514982,255,-310,39,3.5548387097,938,-142,0.5142857143,18,17,113,-64.4705882353
3,p,10,10,1.5737286231,928,36.7094791253,255,-410,35,2.2634146341,742,-210,0.4615384615,24,28,83.8333333333,-45.3571428571
4,p,13,13,1.5732282859,1010,39.9659110571,255,-334,39,3.0239520958,822,-170,0.4285714286,18,24,123.2222222222,-58.1666666667
5,p,9,9,1.4910787032,856,35.7382503951,255,-394,35,2.1725888325,656,-226,0.4285714286,24,32,85.5,-43.625
6,p,1,1,1.4657670186,836,35.5059732899,255,-462,40,1.8095238095,628,-218,0.462962963,25,28,74.72,-44.2857142857
7,p,8,8,1.463158346,820,34.8885253599,255,-442,40,1.8552036199,626,-238,0.4237288136,25,33,81.44,-42.7272727273
8,p,15,15,1.3939105084,758,33.8527850331,255,-388,22,1.9536082474,542,-250,0.435483871,27,35,65.9259259259,-35.3714285714
9,p,6,6,1.3431273388,942,43.66101259,255,-342,28,2.7543859649,812,-138,0.5,17,17,118.5882352941,-70.8235294118
0,a,11,11,0.7545570913,291,24.0082759392,255,-294,132,0.9897959184,181,-88,0.4318181818,19,25,45.5789473684,-27.4
1,a,9,9,0.6509302959,239,22.8572251261,255,-314,132,0.7611464968,109,-102,0.4117647059,21,30,44.7142857143,-27.6666666667
2,a,3,3,0.467456931,186,24.7703093649,255,-352,133,0.5284090909,64,-90,0.4222222222,19,26,42.6842105263,-28.7307692308
3,a,10,10,0.4053033991,156,23.9609725909,255,-393,132,0.3969465649,43,-98,0.387755102,19,30,45.8421052632,-27.6
4,a,13,13,0.3687349633,137,23.1295049733,255,-279,84,0.4910394265,39,-75,0.3513513514,13,24,53.3076923077,-27.25
5,a,12,12,0.3532184443,139,24.4980500086,255,-370,131,0.3756756757,23,-83,0.4390243902,18,23,46.4444444444,-35.347826087
6,a,4,4,0.3223621149,130,25.1049549247,255,-388,133,0.3350515464,35,-82,0.4146341463,17,23,44,-31
7,a,2,2,0.2929826059,112,23.797770676,255,-352,133,0.3181818182,-30,-98,0.3673469388,18,31,42.7222222222,-25.7741935484
8,a,20,20,0.2475361967,97,24.3945668051,255,-433,133,0.2240184758,0,-96,0.4166666667,20,28,43.95,-31.3928571429
9,a,5,5,0.219819596,89,25.2048252828,255,-357,131,0.2492997199,-26,-75,0.4594594595,17,20,42,-37
0,rb,18,18,1.6767622328,406,15.0735185629,255,-209,126,1.9425837321,295,-101,0.4,20,30,37.6,-15.2333333333
1,rb,4,4,1.5442029714,408,16.4481049814,255,-197,127,2.0710659898,306,-87,0.4418604651,19,23,39.4210526316,-19.2608695652
2,rb,2,2,1.4493296694,372,15.9784941156,255,-158,197,2.3544303797,278,-101,0.46,23,26,31.8695652174,-17.5
3,rb,9,9,1.4246841842,357,15.5994649615,255,-143,129,2.4965034965,247,-109,0.4074074074,22,30,32.7727272727,-15.8
4,rb,19,19,1.4094290911,346,15.2824490826,255,-247,126,1.4008097166,232,-99,0.387755102,19,29,38.2631578947,-17.0689655172
5,rb,11,11,1.4052873162,366,16.2134728598,255,-150,118,2.44,232,-99,0.4285714286,21,27,35.0952380952,-18.7037037037
6,rb,17,17,1.3925343147,324,14.4843561295,255,-168,196,1.9285714286,189,-113,0.4464285714,25,30,28.24,-17.2333333333
7,rb,3,3,1.3846781592,363,16.3199142665,255,-199,127,1.824120603,277,-91,0.4,18,26,40,-17.0384615385
8,rb,10,10,1.3789211548,346,15.6205655742,255,-163,119,2.1226993865,211,-105,0.4230769231,22,29,31.0909090909,-16.3103448276
9,rb,5,5,1.3394395717,354,16.4528154623,255,-201,127,1.7611940299,253,-87,0.4418604651,19,23,38.6315789474,-20.9130434783
0,SR,14,14,0.6608745363,376,35.4183981903,255,-599,219,0.6277128548,72,-157,0.3846153846,30,48,64.3333333333,-38.7083333333
1,SR,1,1,0.6170843053,379,38.2344457573,255,-515,51,0.7359223301,205,-117,0.3965517241,23,35,79.2173913043,-46.2
